Sentence,Label,MovieID,Review ID,SentID,FilmID,ReviewID,SentenceID
"Derrickson je u tome itekako uspio, što uopće ne čudi jer on je itekako poznat po prepoznatljivom stilu režije, a ovdje je u velikoj mjeri unio ne samo onaj redateljski, već i osobni pečat.",0,,,,,,
Teško se oteti dojmu kako je Charles premalo iskorišten u filmu – za sve koji gledatelje film mala pomoć.,1,,,,,,
"Nakon neuspješnog posla, on se vraća u svoje utočište u Dominikanskoj Republici, gdje pronalazi porazbijanu kuću i pretučenu djevojku.",1,,,,,,
"Lista filmova na kojima je radio ovaj dvojac je zbilja impresivna, pa spomenimo samo neke – Aliens, Jumanji, Nevidljivi čovjek, It, Mortal Kombat, Terminator….",1,,,,,,
"Pucanj, pardon izbor je na vama.",1,,,,,,
"‘Twilight zone na plaži’ – tako je Rachel Bolton, jedna od meni (po)najdražih mladih filmskih kritičarki ukratko opisala film Old, redatelja M. Night Shymalana.",1,,,,,,
"Takav umjetnički integritet uspijevaju postići tek rijetki redatelji, a još ih je manje koji to ostvare u žanru horora.",0,,,,,,
"Furiosa je zaista odličan prequel film u smislu da nam je dala pozadinsku priču naslovnog lika, ali da nije poništila ništa od onoga što vidimo u Divljoj cesti.",0,,,,,,
"Javier Bardem (Stilgar) je izvrstan u ulozi preko koje nas Villeneuve uvodi u podzemni svijet sietcha, fremenskih gradova.",0,,,,,,
"Pridodamo li tome izuzetno atraktivnu glumačku ekipu te kontroverznu temu, dobivamo sve s mašnicom upakiran film kao stvoren za Netflix generaciju.",1,,,,,,
Impresivno.,1,,,,,,
Siguran sam da će dobar dio publike Bezgrešnu preimenovati u “onaj horor u kojemu glumi Sydney Sweeney” – s obzirom na njenu sve veću popularnost to i nije toliko daleko od istine.,2,,,,,,
"Kada biste prilikom izlaska iz kina ponovno izvrtjeli cijeli film u glavi, jednostavno ne postoji ništa što bi vas natjeralo da pomislite – aha, to itekako ima smisla.",1,,,,,,
"Svatko od njih je dobio svoju priču, istina ništa drugačiju nego što smo inače navikli kada su u pitanju Kramerove žrtve, ali u kontekstu „glavne šefice“ i njihova nedjela u nama stvaraju osjećaj dodatnog prijezira.",1,,,,,,
"S vremenom Florence, odnosno Alice, shvaća da se nešto čudno događa, odnosno da nije sve onako kako se čini da jest, od susjede koja se pokušava ubiti, preko čudnog ponašanja svojeg supruga Jacka i posla kojim se bavi, do činjenice da živi svaki dan u malom gradiću i da izvan njega ne postoji civilizacije.",1,,,,,,
"Nema te napetosti, misterije, ”dobrog” zlikovca i zanimljive priče.",2,,,,,,
Jer… svi iz ekipe to rade.,0,,,,,,
Ovdje je Kaluuya u potpuno drugačijoj ulozi.,1,,,,,,
Ovo što je Villeneuve uspio napraviti što se tiče stvaranja svijeta (world-building) je nevjerojatno i nešto što nismo mogli vidjeti od trilogije Lord of the Rings i originalnih Star Wars filmova.,0,,,,,,
"“Ubojstvo u Veneciji” je, u odnosu na prethodne Branagh – Poirot filmove, drugačiji – prije svega mračniji te u trenucima koketira s hororom.",1,,,,,,
Samo kardinali i nebo znaju odgovor na prethodno pitanje.,0,,,,,,
"Vjerujem kako će najviše polemike među gledateljima izazvati Orlokov izgled, no moram reći kako je meni itekako primjeren.",1,,,,,,
"Za razliku od originala, ova verzija ima drugačiji kraj filma.",1,,,,,,
Klimav mi je odnos sa horor žanrom.,2,,,,,,
"Naravno da biste vi tog prijatelja poslali u tri krasna, zar ne? ",1,,,,,,
"I što se dogodilo? “Furiosa” jest zasjela na vrh box officea, ali ovo je svakako jedna od onih situacija u kojima se brda tresu, a rodi se sićušni sivi glodavac.",2,,,,,,
"I naravno, OK, apsolutno opaka ubojstva koja se dogode kad se zajebavaš s pogrešnim čovjekom.",1,,,,,,
"Dakle, unatoč činjenici da „Meni” pati od deprivacije dodatne elaboracije pojedinih likova, kao i dodatnih 20 minuta radnje, koje bi itekako pripomogle odveć ubrzanom ritmu cijelog narativa, svejedno dobivamo film koji trijumfalno zadovoljava svoju primordijalnu svrhu – čistu zabavu.",1,,,,,,
"Opsjednutost njenog lika koji diše duh Isabelle Adjani u kombinaciji Herzoga i Zulawskog, strah, agresiju pa i napaljenost, istovremeno je zastrašujuća ali i baš zato i privlačna.",0,,,,,,
"Pa čak ni scene seksa, odnosno zadovoljavanja.",2,,,,,,
"Doduše, postoji cold open koji se odvija na izletu u vikendicu na jezeru, ali sve ostalo će se odvijati u spomenutoj zgradi u kojoj živi četveročlana obitelj predvođena samohranom majkom Ellie.",1,,,,,,
"Intrigantan, provokativan, ali nerijetko usiljen scenarij, tužiteljicu (Toni Collette), odvjetnika osuđenika (Chris Messina) i neke od razrađenijih porotnika čine polusposobnima, iako nam iskustvo govori da ni to nije isključena opcija u životu.",2,,,,,,
"Ono što radi i kako radi nije u redu, ali to je ono što Jigsaw čini zanimljivim likom iz horora.",1,,,,,,
"Ovo je film koji je itekako zavodljiv u svom konceptu, alegoriji, i na kraju savršenom finalu koji djeluje poput opere.",0,,,,,,
Kako vrijeme prolazi tako raste i nervoza kardinala te sve više tajna izlazi na svjetlo dana…,1,,,,,,
"No, koliko god svatko od nas imao neke svoje favorite, kada je u pitanju Fincher, mislim kako ćemo se složiti kako je riječ o jednom od najboljih filmskih redatelja današnjice.",0,,,,,,
"Pretežno je dobio mješovite recenzije, no zaslužuje veću hvalu: ozračje i gluma izvrsni su, odnosi između likova dinamični, a detektivski obrati, premda ne nužno originalni, zadovoljavajući.",0,,,,,,
"To ne znači da gledajući ga nećete provesti nešto više od dva uzbudljiva sata, ali na koncu se vjerojatno, kao što je često slučaj u takvim žanrovski oprečnim kombinacijama, nećete ni dovoljno preplašiti, niti dovoljno nasmijati.",1,,,,,,
"Osim Cecilije, niti jedan lik nema natruhe nečega što bi mogli nazvati karakterizacijom.",1,,,,,,
"Stoga veseli vidjeti da redatelj već u pripremi ima novi horor, “Werwulf”, koji bi trebao izaći 2026.",0,,,,,,
"Nikad neću zaboraviti večer kada sam smanjenog zvuka na televiziji, jer nisam želio probuditi roditelje, gledao film koji mi je izazvao cijelu bujicu emocija.",1,,,,,,
"Ta prisutnost emocija zapravo je duboko ukorijenjena u njemu, tako da možemo reći kako je to jedna druga, sporedna borba, koju on cijelo vrijeme vodi sa samim sobom.",1,,,,,,
"Rad ovog redatelja naprosto obožavam, posebice kada je u pitanju film „Sinister“, kojeg i dalje smatram ne samo njegovim najboljim filmom, već i općenito hororom koji zaslužuje svako moguće poštovanje ljubitelja žanra.",0,,,,,,
"I dok smo prije sve doživljavali iz kuta onih „koji nisu dovoljno cijenili život“ i detektiva koji istražuju slučaj, ovdje smo prvi put mi oči Johna Kramera.",1,,,,,,
"Iako si mi kao gledatelji govorimo da vjerojatno i bi ako situacija to zahtijeva od nas, likovi u filmu su stavljeni u određeni kalup iz kojeg ne izlaze.",1,,,,,,
"Što jednostavnije, to bolje.",1,,,,,,
"Kauluya je rezerviran, ali je isto tako spreman prihvatiti rizik, jednako, ako ne i više od sestre, što će u samom klimaksu filma posebno doći do izražaja.",0,,,,,,
O tome čitajte u nekom žutom tisku.,1,,,,,,
Evelyn Wang (Michelle Yeoh) žena je koja nije ispunila potencijal svog života.,1,,,,,,
Novi film serijala o slučajevima detektiva Poirota u režiji i interpretaciji britanskog filmaša Kennetha Branagha najbolji se do sada.,1,,,,,,
"Dovoljno je samo preseljenje svećenika ili biskupa u neku drugu župu ili biskupiju, odnosno mijenjanje okolice u kojoj provodi vjeru, da bi se prestalo govoriti o ovoj velikoj pošasti.",0,,,,,,
"Upravo me iz tog razloga najviše rastuže komentari po društvenim mrežama od strane onih koji su ovaj film gledali u nekakvoj šugavoj cam verziji, da bi onda u potpunosti popljuvali film koji, realno, na taj način nisu niti gledali.",1,,,,,,
"Mjesto odmora, sunca, mora…simbol za mjesto koje većina ljudi koristi za opuštanje i barem kratak bijeg od svakodnevnih obaveza (i)li problema.",1,,,,,,
"Potpomognut scenaristom Peterom Straughanom (Dečko, dama, kralj, špijun, 2011.), direktorom fotografije Stéphaneom Fontaineom te prokušanom glumačkom svitom, Berger je tako u konačnici snimio Konklavu (Conclave).",1,,,,,,
"Fizički jako zahtjevna uloga za Depp, ali i psihički u smislu portretiranja žene koja je žrtva društva 19. stoljeća jednako kao i žrtva vampira, a što Eggers prikazuje upravo kroz odnos ljubavnik/demon koji Ellen ima s Orlokom, između smrti i nevinosti.",1,,,,,,
"Isto tako, čini se da je Miller ovaj put više posezao sa CGI-jem nego u “Fury Road”, a to nikako ne ide u prilog novom filmu, kao ni mlaka romansa tipična za film današnjeg doba, bez imalo kemije i ijednog poljubaca između Furiose i njezinog momka Praetoriana Jacka (Tom Burke) jer takve stvari su nakon sto godina kinematografije izgleda postale odbojne.",2,,,,,,
"Na taj način Taj Vest predstavlja horor koji prevazilazi običnu klanicu, u smislu da priču proširuje na diskusiju o religiji, seksualnosti i voajerizmu, čineći da ovo bude horor koji ipak ima nešto da kaže.",0,,,,,,
"On je zapravo najbolji dokaz kako i dalje postoje redatelji čije će ime biti dovoljno da i prije samog gledanja filma pomislimo: „Uh, jedva čekam ovo pogledati!“.",0,,,,,,
"Eggersov Nosferatu jednostavan je narativno, no artistički je složen, posebice kroz pristup prema ljubavi i požudi.",1,,,,,,
"Konačno, ove godine je napokon izašao i njegov treći dugometražni film – „Men“, a kojeg možete upravo pogledati u našim kinima.",1,,,,,,
"Dao nam je i promišljanje o moći, vjeri, sumnji, ambiciji i ljudskoj prirodi.",1,,,,,,
"Benediktov potez bio je neviđen u modernoj povijesti, nijedan papa od Grgura XII, i to davne 1415. godine, nije, takoreći, „podnio ostavku”, i ubrzo Benedikt XVI postaje poznat kao papa emeritus.",1,,,,,,
"Na taj način se stvara i poštovanje prema njima, odnosno prema njihovom razvoju što stvara i našu povezanost prema njima.",1,,,,,,
"Umjesto toga, dobili smo ponavljajuće vizije koje su djelovale jako slično, a koje ni izbliza nisu imale takav efekt kao scena koju sam maloprije spomenuo.",2,,,,,,
"S druge strane, Sve u isto vrijeme dao nam je sve paralelne svjetove koji su mogući.",0,,,,,,
Ni Google ni gledanje filma nisu potrebni da bude jasno iz naslova kako će vitalna legenda filma reinterpretirati scenarij Reginalda Rosea po kojem je Sidney Lumet 1957. režirao klasik “12 gnjevnih ljudi” – napetu sudsku dramu o porotnicima koji optuženika za ubojstvo umalo olako osude na zatvor da bi ga se naposljetku raspravama potaknuto moralnim dvojbama porotnika pod brojem 2 oslobodilo.,1,,,,,,
"Ako me to tamo nerviralo, ovdje sam bio još više na rubu živaca po pitanju njegovih postupaka.",2,,,,,,
"Kada je riječ o samom stilu snimanja, metode dobrog starog Sama Raimija, a koje je djelomično koristio redatelj Lee Cronin, i dalje itekako djeluju moćno.",0,,,,,,
"Naime, baš kada sam pomislio kako je spremana za izlazak, pri tom izgledajući uistinu predivno, doza njene vlastite nesigurnosti ponovno je izašla na površinu.",1,,,,,,
I odnos ova tri glavna lika predstavlja svojevrsni trokut tuge.,1,,,,,,
"Naime, da je Bergeru pošlo za rukom snimiti jedno iznadprosječno pitko ostvarenje, teško je osporiti.",1,,,,,,
"Zanimljivo jest da je ulogu ispranog glumca (koja je originalno napisana za Daniela Radcliffea) John Leguizamo tumačio po akcijskoj zvijezdi Stevenu Seagalu s kojim je surađivao na jednom filmu, a kojeg smatra “užasnim ljudskim bićem”.",1,,,,,,
"Od likova koje smo upoznali u ovom nastavku, moram priznati kako me najviše privukla Florence Pugh koja je kao princeza Irulan oživjela duh onog starog Hollywooda kada su slični likovi imali tu jednu neopisivo magičnu eleganciju, i čija je pojavnost bila dovoljna za divljenje.",0,,,,,,
"Anna je kao glumica debitirala u filmu „Camp“, da bi se sada, evo nešto više od dvadeset godina od glumačkog, odlučila i za onaj redateljski, i to s filmom „Woman of the Hour“.",1,,,,,,
"Odmaralište izgleda impresivno, sve izgleda savršeno, ali dosadašnja filmska iskustva s hotelima, odmaralištima koji izgledaju savršeno kao i obitelji koje u njih dolaze stvaraju sumnju i nepovjerenje.",1,,,,,,
"Kada su u pitanju mane, paradoksa radi, one su slične kao i vrline.",1,,,,,,
"To je najbolje prikazano upravo kroz lik Chefa, a prema kojem se, priznajem, nikada nisam znao postaviti.",1,,,,,,
"Iz navedenih naslova najbolje se može vidjeti koliko su ogromne oscilacije u Shyamalanovoj karijeri, ali Indijac ide dalje i nastavlja realizirati svoje filmske ideje.",1,,,,,,
"Naravno, tu su nezaobilazni jump scare dijelovi odnosno scene.",1,,,,,,
"Ili, pak, misteriozni Benitez (Carlos Diehz) – mladi afganistanski kardinal kojeg je papa ne samo imenovao in pectore (tj. u tajnosti), već ujedno i osobno pozvao u Rim netom prije smrti?",1,,,,,,
Sve to dodatnom jezom nabija i atmosferična glazbena partiture irskog skladatelja Robina Carolana koji je također Eggersovo otkriće iz prethodnog filma.,0,,,,,,
"Ako ništa, barem više nikada nećete gledati na ribež istim očima.",1,,,,,,
"U skladu sa žanrom, atmosferična glazba prisutna je u svim ključnim trenucima i prikladno će popratiti zbivanja na ekranu.",2,,,,,,
Hoće li sljedeće jelo nekoga otrovati?,1,,,,,,
"Ništa u vezi sa ovim filmom nije posebno iznenađujuće, iako je sigurno autorka verovala da većina toga jeste.",1,,,,,,
"Shyamalan je, kada je o “Ostarjelima” riječ, raspoložen za redateljski posao, ali scenarij je prilično tanak i nedovoljno dobar kako bi održao tenziju čitavim trajanjem filma.",0,,,,,,
"Naravno, isto to očekujemo i od žrtve takvog napada.",1,,,,,,
"Cronin zadržava Necronomicon, zle deadite i motornu pilu, a budući da se Asha već i Álvarez riješio, novi film odustaje i od šumske lokacije i umjesto toga nas vodi u ruševnu zgradu u Los Angelesu koja će djelovati jednako neprobojno kao i ukleta priroda ranijih filmova.",1,,,,,,
"I zato sam, vjerujem, uistinu bio jedan od onih rijetkih koji se radovao izlasku remakea, u nadi da će uspjeti popuniti sve one mane koje su mi bile prisutne kod originala.",1,,,,,,
"To je priča o čovječanstvu ispričana u budućnosti, i to kroz teme koje je Herbert obrađivao na jednako dojmljiv način u svojim romanima, počevši od miješanja vjere i politike, preko moći umjetne inteligencije pa sve do opasnosti koju sa sobom nosi kult karizmatičnih vođa, pardon, proroka.",0,,,,,,
"Žene vide sve muškarce kao iste, ali oni to ipak nisu.",0,,,,,,
"No, ispod tog glanca nema baš tako mnogo sadržaja kao što se čini.",1,,,,,,
"Po povratku kući nakon iznenadnog otkaza sudjelovat će ona u prometnoj nesreći, a u bolnici će joj mladi medicinski tehničar dati USB stick na kojem samo piše ""Supstanca"".",1,,,,,,
"Naizgled, Olivera ne prihvaća nitko osim samog Felixa koji ga pozove na svoje imanje da provede ljeto s njegovom obitelji.",1,,,,,,
"Film koji svakako vrijedi pogledati u kinu i za koji sam uvjeren da će vam zadovoljiti glad, strast i požudu kroz krv, seks i suze.",0,,,,,,
"Naime, zbilja je fascinantno kako je redatelj iskoristio glas glavnog lika, odnosno jeku kao glazbenu podlogu.",1,,,,,,
Ralph Fiennes je Chef Slowik – isprva je uvjerljivo hladan i temeljit.,0,,,,,,
Ovo nije još jedan triler bez imalo dubine.,0,,,,,,
Taj bizarni i uznemirujući osjećaj snova zapravo nadoknađuje svu onu tenziju koju smo osjećali u prethodnom filmu.,0,,,,,,
"Također moram napomenuti kako nikako nisam ljubitelj jump scare scena, ali one su ovdje jako dobro napravljene, tako da u nijednom trenutku ne pomislite kako su forsirane i glupe, a što često zna biti slučaj u hororcima.",1,,,,,,
"Iako naša mašina za klanje u interakciji s drugim likovima jedva da i progovori kao narator ne može prestat brbljat blebećući o apsolutno svemu- citira Popeyea, divi se Green River Killeru, uspoređuje se sa igračima bejzbola, čak i sanja kako će se njegova garaža jednog dana pojaviti na Storage Wars, pa iako ima pokoja zgodna rečenica poput „Nevjerojatno je fizički naporno ne raditi ništa,“ što film dalje odmiče zamor Fassbenderovim glasom koji priča kao da je AI program postaje sve veći do točke da poželite gledati nijemi film.",2,,,,,,
"Potom i zato što će se redateljev najnoviji uradak, unatoč nepopravljivo „senzacionalističkoj” mu ćudi, većinu vremena ipak milosrdno suzdržavati od zapadanja u jeftinu melodramu na koju ćete kolutati očima.",1,,,,,,
"O njemu se pričalo po društvenim mrežama te je potaknuo raspravu o mnogim temama koje je obrađivao, posebice među ljubiteljima horora. Činjenica kako se snima remake filma čija se vrpca takoreći nije ni ohladila iznenadila je mnoge pa su se svi ti upitnici o smislu njegovog postojanja činili i više nego logičnim.",1,,,,,,
"Poveznica modernog i klasičnog ocrtava se i kroz prikaz raja koji je i stvoren većinom kroz mizoginiju  i monogamiju, koje i danas služe poput kista za crtanje upravo takvih svjetova.",0,,,,,,
"“Konklava”, film Edwarda Bergera koji se može pogledati u kinima Cinestar diljem Hrvatske, pogodio je u srž problema današnjeg svijeta, a u konačnici i Crkve.",1,,,,,,
Papa je umro – vodeći ljudi Katoličke crkve pripremaju se za izbor novog prvog čovjeka.,1,,,,,,
"Ona uspijeva biti cool čak i kada ne pokušava biti smiješna, posebice kada unutar sebe proživljava dramu i emociju određenog trenutka.",1,,,,,,
Pogotovo u scenama u kojima su šminka i specijalni efekti odradili i svoj dio posla te nam dočarali jednu potpuno novu osobu.,0,,,,,,
Svi oni pokreću lov na bića iz svemira u kojem će vrlo brzo oni sami postati lovina.,1,,,,,,
"Jednako tako, zbog kraće minutaže, djeluje kao da su mnogi dijelovi priče prilagođeni toj minutaži, što je rezultiralo nerealističnim postupcima samih likova, odnosno, na momente se jasno ocrtavalo karakterno prilagođavanje priči.",2,,,,,,
Ovo je redak film koji ostavlja nadu da će postojati nastavak iz prostog razloga jer materijal na ekranu praktično moli da se nešto više uradi sa njime.,1,,,,,,
"Ali, sada ću je zapamtiti i po filmu Talk to Me.",1,,,,,,
"Ali nije ni to toliko loše, kada bolje razmislim.",1,,,,,,
"Na tome počivaju neke kritike Nosferatuova odnosa prema Drugom, no bolje je ne zagubiti se u području političke korektnosti.",1,,,,,,
"Drugim riječima, jedan već tematski relativno kontroverzan politički triler, a koji bi također mogao ući u utrku za zlatnog ćelavca ili dva.",1,,,,,,
To Paddy iskoristi maksimalno i to možemo vidjeti kroz cijeli film.,1,,,,,,
I zato neću pretjerati ako napišem kako je „Saw X“ daleko najbolji film iza originala.,0,,,,,,
"Međutim, iskustvo je uvijek prisutno, jer ono se događa u umu glavne protagonistice.",1,,,,,,
"I Saw the TV Glow je film u kojem dvoje likova – cure Maddy (Brigette Lundy-Paine) i dečka Owena (Justice Smith), koji se u ranoj tinejdžerskoj dobi zbliže preko TV serije imena The Pink Opaque.",1,,,,,,
"Nosferatu je začetnik horora pa stoga nije ni čudno da i Eggers koristi toliko poznate žanrovske elemente koji možda više nisu toliko privlačni, poput primjerice jump scare scena.",2,,,,,,
"Bijeli dim će na kraju biti pušten, mogla bi pasti i koja nominacija za Oscara, ali nekako ostaje dojam da je to moglo i bolje.",0,,,,,,
"Pri tome je jako zanimljivo promatrati njihove reakcije u određenim momentima. Često sam se znao zapitati zašto ne naprave nešto konkretno, čak i kada je postojala određena sloboda izbora, ali sam vrlo brzo shvatio određenu prisutnost manipulacije u koju nas je upravo kroz takva pitanja uvukla redateljica.",0,,,,,,
sada je bio poticaj za 10 poglavlja u franšizi Saw.,1,,,,,,
Točno je i kako su oni svoje uloge odradili dobro.,1,,,,,,
"S obzirom da Saw nije fantastična priča, možete zamisliti kako cijela stvar izgleda.",1,,,,,,
"Od ostalih sporednih uloga tu se svakako izdvaja Willem Dafoe kao profesor Albin Eberhart, a koji djeluje kao varijacija Van Helsinga, posebno u tom filozofskom smislu.",0,,,,,,
"Osmijeh treba zaslužiti, a to ovaj film itekako radi.",1,,,,,,
S Eastwoodom smo u američkoj sadašnjici.,1,,,,,,
"Iako će mnogima zasmetati predvidljivost radnje, što nije ništa čudno s obzirom na poznatu temu i brojne filmove i serije koje su obradile temu Stokerovog romana, za mene je upravo Eggersova verzija ona kojoj ću se najviše puta vraćati.",1,,,,,,
"Jer, Peele nije samo majstor horora, već ga se na neki način može nazvati redateljskim preljubnikom koji uspješno koketira i s ostalim žanrovima.",1,,,,,,
"Dakako da bismo svi voljeli vidjeti kako se one s lakoćom obračunavaju ne samo s ubojicom već i sa svim problemima s kojima se danas suočavaju, htjeli to neki priznati ili ne, ali za sada je to ipak puno bliže fantaziji a puno dalje od realnosti.",1,,,,,,
"Pa ipak, bilo bi pogrešno misliti kako je ovaj film isključivo posveta tom horor klasiku, jer sve ono što vas čeka u nastavaku apsolutno udara jedan poseban pečat samom žanrovskom filmu, što je zapravo najbolje moguće iznenađenje bez obzira koliko ono bilo neugodno.",0,,,,,,
I Jupe i Haywoodovi primjećuju neobična kretanja na nebu iznad svojih zemljišta te pretpostavljaju kako bi u pitanju mogli biti vanzemaljske letjelice.,1,,,,,,
"Dugo mi se nije dogodilo da nakon odjavne špice ostanem sjediti u kinu, onako sa svojim mislima na ono što sam upravo doživio.",0,,,,,,
"Ipak, Murnauova specifična vizija s krvopijom koji nije uglađeni gospodin već odvratni leš grofa Orloka ostala je i dalje privlačna filmašima koji su joj se kroz desetljeća vraćali, a među njima se ističe još jedan njemački uradak iz 1979. također nazvan “Nosferatu” (ovaj pak podnaslovljen “Fantom noći”) u režiji ludog Wernera Herzoga s još luđim Klausom Kinskim kao naslovnom zvijezdom.",1,,,,,,
Principi.,1,,,,,,
Ovdje treba biti iskren pa priznati kako su i znatno bolji horor naslovi od Smiješka patili zbog nedorađenog scenarija.,1,,,,,,
Priča filma Ostarjeli je intrigantna i začuđujuće gledljiva kada se uzme u obzir hladnoća kojom glavni glumci utjelovljuju svoje likove.,1,,,,,,
"Ta poveznica je itekako bitna, i to upravo zbog jedne druge, još bitnije – gledatelja sa samim filmom.",1,,,,,,
"Kombinacija redateljskog talenta Ti Westa iza i onog glumačkog Mie Goth ispred kamere, stvorili su od ovog filma prequel koji je uistinu vrijedan gledanja.",0,,,,,,
"Anksioznost s odmakom vremena sve više raste, što paralelno stvara stalnu napetost, i to u tolikoj mjeri da ne znaš odakle će doći, ili bolje rečeno iskočiti iduća potencijalna opasnost.",1,,,,,,
"Ovo je film koji, opet netpično za Finchera, nema neki upečatljivu završnicu ili obrat.",2,,,,,,
"Istina, svega tu ima, ali krajnji rezultat je poprilično zbunjujuć i tjera vas na razmišljanje.",1,,,,,,
"Sosie Bacon u glavnoj ulozi uistinu je ponijela najveći teret filma, posebice jer je sam njen lik kompleksan u smislu traume koju je proživjela, ali koja je uvjerljiva upravo zbog svih tih ljudi koji se nalaze u njenom okruženju.",0,,,,,,
"Fienessova izvedba je ovdje poput najfinijeg jela, odnosno umjetnost koja se jednostavno mora osjetiti.",0,,,,,,
"Naravno, već činjenica da se taj pojam koristi toliko dugo dovodi u pitanje njegovu točnost, jer da su se gledatelji toliko umorili od horora, to bi se mnogo više osjetilo na njegovoj produkciji (kao što su primjerice romantične komedije nestale s radara).",1,,,,,,
"Film nastoji zadiviti gledatelje epskim po(r)ukama koje su većini ljudi samorazumljive, a koje zvuče kao da ih je napisala umjetna inteligencija, i to loša.",0,,,,,,
Ono što je zanimljivo su Eggersove izjave tijekom proteklih godina u kojima je istaknuo kako je jedna od njegovih najvećih redateljskih ambicija realizacija nove verzije (vizije) horor- klasika.,1,,,,,,
"Vjerojatno nikome normalnom u životu nije potrebna večer provedena uz “Evil Dead Rise”, no fanovi horora mogli bi naći mnogo razloga za uživanje u Croninovoj krvavoj rapsodiji.",1,,,,,,
"Ona je, na neki način, umanjena verzija Divlje ceste.",1,,,,,,
"I baš kada očekuješ da čudovište postane najgore, ono zapravo na kraju djeluje najmanje opasno.",1,,,,,,
"I ono najbitnije, vjerodostojne su, tako da ni u jednom trenutku nećete pomislit kako iza svega ne stoji Jigsaw.",0,,,,,,
Treći istaknuti lik na kojem počiva jedan dio ovog filma je producent Harvey (Dennis Quaid).,1,,,,,,
Posebno s Ma Dong-seokom koji je uvijek pokazivao svoje nevjerojatne borbene sposobnosti zadovoljavajuće za nas koji volimo akcije.,0,,,,,,
"Soundtrack filma također spada u vrline filma, posebice jer istovremeno diše određenu dozu klasike, jednostavnosti i romantike.",0,,,,,,
"Također, borbe jedan na jedan, posebice u završnici, brzina i koordinacija pokreta u njima, naprosto zadivljujuće.",0,,,,,,
"Ta tenzija između njih, dok svi ostali gledaju napeto, birajući i skrivajući strane, definitivno je trebao biti smjer u kojem je film trebao krenuti više puta.",2,,,,,,
"Razlika između dobrog i lošeg twista očitava se u činjenici da nakon ponovnog gledanja nekog njegovog filma, ti kao gledatelj možeš prepoznati neke tajne znakove koje možda nisi na prvu vidio, a koji će te dovesti do tog twista koji će imati smisla.",1,,,,,,
"Ipak, utjecaj kršćanstva i katoličanstva nemjerljiv je.",1,,,,,,
"I uistinu, ne sjećam se kada mi se dogodilo da uopće ne mogu sastaviti suvisle rečenice s kojima bih, barem donekle, opisao ono što sam osjećao prilikom izlaska iz kina.",0,,,,,,
"No, koliko god smo puta svi mi ljubitelji ispali pravi mazohisti po pitanju obožavanja franšize i koliko god se pitali da li uopće ima smisla snimati ukupno deseti „Saw“ film, izgleda kako smo ipak dobili zasluženu nagradu za sve ono što smo prethodno pretrpili.",1,,,,,,
"Pa ipak, nekako se uvijek s posebnim guštom prepuštam tom riziku, znajući kako će mi (možebitno) zadovoljstvo ipak biti puno veće od (mogućeg) razočaranja.",0,,,,,,
"Poe kakvog poznajemo iz njegovih priča i zapisa o njegovom privatnom životu (mračan, poročan…) odlično bi se uklopio u priču filma.",0,,,,,,
"Ništa što se nije dogodilo nekom muškom redatelju, ako ne i više njih.",1,,,,,,
"Tako u jednom trenutku pomislite kako sve djeluje protiv nje u potrazi za srećom, dok u drugome shvatite kako ona ne može kontrolirati sebe, posebice u situacijama kada netko zaprijeti tom njenom idealnom prikazu snova.",1,,,,,,
Slowik na svojoj večeri ne služi kruh i time povlači crtu razdvajanja između posljednje večere i ove koju on služi.,1,,,,,,
"Pretjerana priroda nasilja zapravo bi udaljila osjećaj realizma, a upravo je to željela (uspješno) izbjeći Fargeat.",0,,,,,,
"Naprotiv, klupko osobnih ambicija, zakulisnih igara i skandaloznih tajni iz prošlosti koje će se iz dana u dan sve spremnije razmotavati, na ljude navodno sasvim posvećene služenju Gospodu moglo bi baciti jedno novo i ne pretjerano povoljno svjetlo...",1,,,,,,
"U ovom filmu se svašta nešto dešava, uključujući drastičnu promenu u zapletu, kao i razne šale i prilagođavanja tonova u hodu koji prate sekvence brutalnog nasilja.",1,,,,,,
"Glavni sukob filma odvija se između Sweeney i njene okoline koja ju pod svaku cijenu pokušava kontrolirati, a nju simbolično reprezentira Morte (poznatiji kao El Profesor u seriji Money Heist).",1,,,,,,
(kojeg glumi Daniel Kaluuya) te njegova sestra Emerald (koju glumi Keke Palmer).,1,,,,,,
"Praktični efekti filma savršeno služe kao prikaz propadanja likova, emotivnog i fizičkog.",0,,,,,,
Sve stane u jednu šetnju. Šetnju izbora i šetnju (ne)sreće koju osjeti i živi jako puno žena.,1,,,,,,
"U redu, završetak filma sadrži dozu iznenađenja, ali čitavim trajanjem filma nema tenzija, napetosti u lovu na ubojice, napetosti – detalja tako potrebnih kako bi film u kojem je istraga ubojstava glavni motiv priče.",2,,,,,,
"Počinju lobiranja, podmetanja i otkrivanje prljavog rublja kandidata za novog Papu.",1,,,,,,
"Svejedno se ti snobovi dive svemu što im stiže, a svaki slijed ekscetrični kuhar upotpunjuje i bizarnim monologom, a vrlo brzo situacija će se potpuno oteti kontroli.",1,,,,,,
Sastoji se od nekoliko paravojnih utvrda koje međusobno trguju s izrazitim nepovjerenjem i cestovnih bandi koje robu kojom se trguje pokušavaju ukrasti.,1,,,,,,
"Tu dolazimo i do drugog bitnog elementa, a to je činjenica kako ovaj put pratimo na intimniji način glavne likove.",1,,,,,,
Nakon toga mu je naređeno da se sakrije.,1,,,,,,
